summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide5b3,immune-like,Mean.PanCK,16642,6040.52457637303,1655.5,1049.25,4940.75,0.0900132195649561,12098.8852565325,-0.64133364313011
slide,slide5b3,immune-like,Mean.CD45,16642,287.278512198053,265,209,327,0.517606056964307,124.617509059699,0.908351810919969
slide,slide5b3,immune-like,Mean.CD3,16642,253.436005287826,246,156,326,0.250871289508473,205.663665840168,0.35177717094603
slide,slide5b3,immune-like,Mean.DAPI,16642,4136.54362456436,3812,2667,5234,0.300024035572648,2966.00080106809,0.563990359678577
slide,slide5b3,immune-like,Mean.MembraneStain,16642,1573.3318110804,1268,851,1906,0.154849176781637,1707.99458325386,0.0564315152832551
slide,slide5b3,other/background,Mean.PanCK,9998,4938.62362472495,1643,800.25,7963,0,11209.1764204632,-0.789804403234478
slide,slide5b3,other/background,Mean.CD45,9998,101.599919983997,106,69,138,0,214.003499802185,-0.72543729637731
slide,slide5b3,other/background,Mean.CD3,9998,177.515903180636,145,58,253.75,0.106621324264853,238.423293466022,-0.5927517401281
slide,slide5b3,other/background,Mean.DAPI,9998,2753.27055411082,2617,1484,3875.75,0.119623924784957,3623.56952433123,-0.469034976015197
slide,slide5b3,other/background,Mean.MembraneStain,9998,1304.43048609722,981,567,1577,0.121124224844969,1762.58467999635,-0.386535807859879
slide,slide6,CAF/matrix-like,Mean.PanCK,13575,220.929134438306,120,54,228,0,2820.13248220181,-1.9283325765996
slide,slide6,CAF/matrix-like,Mean.CD45,13575,106.72876611418,106,81,130,0,164.70031420276,-0.35643556523285
slide,slide6,CAF/matrix-like,Mean.CD3,13575,222.685009208103,185,121,258,0.0137016574585635,887.957058956105,-0.712961716000805
slide,slide6,CAF/matrix-like,Mean.DAPI,13575,414.721399631676,393,293,514,0.0420626151012891,569.450211457132,-0.269031928065983
slide,slide6,CAF/matrix-like,Mean.MembraneStain,13575,2152.39012891344,1753,988.5,2883,0.0324861878453039,4242.8216070742,-0.539907140804574
slide,slide6,TGF/EMT stromal-interface,Mean.PanCK,9566,2235.37204683253,226,87,4117,0.204474179385323,2446.37726277097,-0.38186385926489
slide,slide6,TGF/EMT stromal-interface,Mean.CD45,9566,118.736671545055,117.5,91,144,0,160.328658828269,-0.213725274933176
slide,slide6,TGF/EMT stromal-interface,Mean.CD3,9566,251.038051432156,210,145,286,0.0163077566380932,850.96845338503,-0.517715716399436
slide,slide6,TGF/EMT stromal-interface,Mean.DAPI,9566,445.804829604851,418,317.25,547,0.0653355634538992,557.898411339661,-0.172117755390103
slide,slide6,TGF/EMT stromal-interface,Mean.MembraneStain,9566,3675.5340790299,2468.5,1300.25,4616,0.173531256533556,3953.90528462449,-0.0502112093128337
slide,slide6,tumor epithelial-like,Mean.PanCK,20712,6877.26931247586,6541,5028,8290,0.684144457319428,1072.99367422246,3.13871664885781
slide,slide6,tumor epithelial-like,Mean.CD45,20712,134.634704519119,138,108,164,0,162.295276167047,-0.0737769706990843
slide,slide6,tumor epithelial-like,Mean.CD3,20712,292.58651989185,223,150,307,0.039156044804944,936.28258068295,-0.498410675932267
slide,slide6,tumor epithelial-like,Mean.DAPI,20712,498.664928543839,470,333,632,0.135911548860564,560.161585544427,-0.118277764310428
